Region,Date,Fatalities,Year,Month,Day,Quarter
Banadir,2018.1041095890412,0,2018,2,8,1
Banadir,2018.1041095890412,0,2018,2,8,1
Banadir,2018.1041095890412,0,2018,2,8,1
Banadir,2018.1068493150685,2,2018,2,9,1
Banadir,2018.1068493150685,1,2018,2,9,1
Banadir,2018.109589041096,2,2018,2,10,1
Banadir,2018.1123287671232,1,2018,2,11,1
Banadir,2018.1123287671232,1,2018,2,11,1
Banadir,2018.1123287671232,1,2018,2,11,1
Banadir,2018.1123287671232,1,2018,2,11,1
Banadir,2018.1150684931506,0,2018,2,12,1
Banadir,2018.1150684931506,1,2018,2,12,1
Banadir,2018.1178082191782,0,2018,2,13,1
Banadir,2018.1178082191782,0,2018,2,13,1
Banadir,2018.1178082191782,0,2018,2,13,1
Banadir,2018.1178082191782,1,2018,2,13,1
Banadir,2018.1178082191782,0,2018,2,13,1
Banadir,2018.1178082191782,1,2018,2,13,1
Banadir,2018.1178082191782,1,2018,2,13,1
Banadir,2018.1205479452055,1,2018,2,14,1
Banadir,2018.123287671233,0,2018,2,15,1
Banadir,2018.123287671233,1,2018,2,15,1
Banadir,2018.123287671233,1,2018,2,15,1
Banadir,2018.131506849315,0,2018,2,18,1
Banadir,2018.13698630137,0,2018,2,20,1
Banadir,2018.13698630137,0,2018,2,20,1
Banadir,2018.1397260273973,2,2018,2,21,1
Banadir,2018.1424657534246,1,2018,2,22,1
Banadir,2018.1424657534246,0,2018,2,22,1
Banadir,2018.1424657534246,2,2018,2,22,1
Banadir,2018.145205479452,3,2018,2,23,1
Banadir,2018.145205479452,0,2018,2,23,1
Banadir,2018.145205479452,4,2018,2,23,1
Banadir,2018.145205479452,1,2018,2,23,1
Banadir,2018.145205479452,1,2018,2,23,1
Banadir,2018.145205479452,30,2018,2,23,1
Banadir,2018.145205479452,18,2018,2,23,1
Banadir,2018.1479452054793,0,2018,2,24,1
Banadir,2018.1479452054793,0,2018,2,24,1
Banadir,2018.1479452054793,1,2018,2,24,1
Banadir,2018.1479452054793,0,2018,2,24,1
Banadir,2018.150684931507,0,2018,2,25,1
Banadir,2018.150684931507,0,2018,2,25,1
Banadir,2018.150684931507,1,2018,2,25,1
Banadir,2018.150684931507,1,2018,2,25,1
Banadir,2018.1534246575343,1,2018,2,26,1
Banadir,2018.1534246575343,1,2018,2,26,1
Banadir,2018.1534246575343,1,2018,2,26,1
Banadir,2018.1561643835616,1,2018,2,27,1
